,date,item,type,rarity
0,2020-10-01,barbara,character,4
1,2020-10-01,magic guide,weapon,3
9,2020-10-01,magic guide,weapon,4
13,2020-10-01,xiangling,character,4
23,2020-10-01,fischl,character,4
40,2020-10-20,magic guide,weapon,3
43,2020-10-20,favonius greatsword,weapon,4
45,2020-10-20,klee,character,5
50,2020-10-21,magic guide,weapon,3
52,2020-10-21,noelle,character,4
59,2020-11-11,magic guide,weapon,3
61,2020-11-11,rainslasher,weapon,4
71,2020-11-11,diona,character,4
72,2020-11-12,magic guide,weapon,3
73,2020-11-12,beidou,character,4
82,2020-11-12,sacrificial sword,weapon,4
91,2020-11-12,diona,character,4
94,2020-12-02,magic guide,weapon,3
100,2020-12-02,favonius codex,weapon,4
104,2020-12-02,chongyun,character,4
109,2020-12-23,sacrificial sword,weapon,4
110,2020-12-23,magic guide,weapon,3
112,2020-12-23,albedo,character,5
118,2020-12-23,bennett,character,4
127,2020-12-24,magic guide,weapon,3
132,2020-12-24,favonius greatsword,weapon,4
139,2021-01-13,magic guide,weapon,3
141,2021-01-13,xiangling,character,4
151,2021-01-13,eye of perception,weapon,4
161,2021-01-13,noelle,character,4
162,2021-02-04,magic guide,weapon,3
164,2021-02-04,xiangling,character,4
173,2021-02-04,beidou,character,4
182,2021-02-04,xinyan,character,4
183,2021-02-04,xiao,character,5
186,2021-02-04,favonius codex,weapon,4
192,2021-02-17,magic guide,weapon,3
195,2021-02-17,barbara,character,4
204,2021-02-17,the flute,weapon,4
213,2021-02-17,ningguang,character,4
216,2021-02-17,favonius lance,weapon,4
219,2021-02-17,qiqi,character,5
225,2021-02-17,keqing,character,5
227,2021-02-18,magic guide,weapon,3
228,2021-02-18,chongyun,character,4
232,2021-03-03,magic guide,weapon,3
237,2021-03-03,xingqiu,character,4
247,2021-03-03,favonius warbow,weapon,4
265,2021-03-03,jean,character,5
267,2021-03-03,chongyun,character,4
279,2021-04-07,magic guide,weapon,3
284,2021-04-07,barbara,character,4
285,2021-04-28,skyrider sword,weapon,3
286,2021-04-28,noelle,character,4
287,2021-04-28,bloodtainted greatsword,weapon,3
288,2021-04-28,thrilling tales of dragon slayers,weapon,3
289,2021-04-28,harbinger of dawn,weapon,3
290,2021-04-28,black tassel,weapon,3
291,2021-04-28,slingshot,weapon,3
292,2021-04-28,debate club,weapon,3
295,2021-04-30,ferrous shadow,weapon,3
296,2021-04-30,diona,character,4
297,2021-04-30,sharpshooter's oath,weapon,3
298,2021-04-30,magic guide,weapon,3
299,2021-04-30,harbinger of dawn,weapon,3
301,2021-04-30,black tassel,weapon,3
302,2021-04-30,raven bow,weapon,3
303,2021-04-30,debate club,weapon,3
305,2021-05-02,favonius lance,weapon,4
306,2021-05-03,debate club,weapon,3
307,2021-05-03,raven bow,weapon,3
308,2021-05-03,thrilling tales of dragon slayers,weapon,3
309,2021-05-03,noelle,character,4
310,2021-05-09,magic guide,weapon,3
311,2021-05-09,cool steel,weapon,3
312,2021-05-09,emerald orb,weapon,3
313,2021-05-09,bloodtainted greatsword,weapon,3
314,2021-05-09,rust,weapon,4
315,2021-05-16,ferrous shadow,weapon,3
316,2021-05-16,noelle,character,4
317,2021-05-17,debate club,weapon,3
318,2021-05-18,magic guide,weapon,3
319,2021-05-18,black tassel,weapon,3
320,2021-05-18,thrilling tales of dragon slayers,weapon,3
321,2021-05-18,slingshot,weapon,3
323,2021-05-18,harbinger of dawn,weapon,3
324,2021-05-18,debate club,weapon,3
325,2021-05-18,ferrous shadow,weapon,3
326,2021-05-18,rainslasher,weapon,4
327,2021-05-18,sharpshooter's oath,weapon,3
328,2021-05-18,raven bow,weapon,3
330,2021-05-18,bloodtainted greatsword,weapon,3
334,2021-05-18,cool steel,weapon,3
336,2021-05-18,xingqiu,character,4
340,2021-05-18,emerald orb,weapon,3
344,2021-05-18,eula,character,5
345,2021-05-19,beidou,character,4
